,Dates,Products,Ratings,Reviews
10,23-Dec-2014,HP 15-g049AU Notebook,5,1 -good graphic quality 2-great battery backup 3- pre installed everything 4-original window 8 5- nice look  6-works efficiently  7-great gaming experience 8-highly satisfied with this product . 9-sound quality ranges medium . 10-amazing flipkart services :)  !!
11,18-Nov-2014,HP 15-g049AU Notebook,2,"Today it stopped working after 1.5 months of usage. Suddenly it hung a lot even if there was nothing consuming more CPU/RAM and next day it won't open at all. Planning to carry it to HP Service center.  But this is a good laptop otherwise, didn't have any issue while using it."
12,16-Oct-2014,HP 15-g049AU Notebook,4,"I got the laptop for 17k with exchange offer. It looks very good , touch pad is very good. It is hard to use the touchpad buttons though.  The screen resolution is 1300 x 768 . I have serious font problem with windows 8.1. Fonts look very bad not sure whether it is windows problem or the graphics problem.  Overall it is a very good deal if i can solve the font problem , but so far i tried various things they did not work."
13,15-Oct-2014,HP 15-g049AU Notebook,4,"It's an Awesome product at a decent price really satisfied with the product , the discount day on the Billionth day sale as I am one of those few people who are lucky"
14,17-Oct-2014,HP 15-g049AU Notebook,1,"I have observed that there is type in Detailed Description of ""HP 15-g049AU Notebook""  I saw the fallowing under OS description  ""The Dell Inspiron notebook runs on Windows 8.1 operating system. Experience the Windows operating system's smooth and versatile interface on this notebook.""  Can you change it."
15,08-Oct-2014,HP 15-g049AU Notebook,4,"I have purchased this on flipkart Big Billion Day sale, grabbed for 20,390/- . Well the surprise is, got it delivered by the next day afternoon, flipkart at it's best delivery. The packing was solid, got a branded hp bagpack free. Well Coming to the Product. Pros: Looks: The design is very simple, with pure black glossy finish. You can only find the processor branding below the keyboard. Speed: I can say its far better than the 4th gen i3 processors available. It's base frequncy is 2 ghz and can be clocked upto 2.4ghz in turbo mode Battery: I got an mixed usage of 3.5hrs on 75% brightness of the screen with 10% battery remaining. which is not at all bad at this price point. Gaming: Well i would suggest not to use it for latest games which require high end graphics, moderate gaming performance will be at its best. Speakers: Good, but not best. Screen: Viewing angles are fine with this price point. Operating System: Comes Preloaded with windows 8.1. This is the best advantage of this laptop which will attract most of the users  Cons: Keyboard: I felt the keys of keyboard to be very delicate comapred to others models. Mouse Keys: yeah, these are like solid rocks which you need to hit them hard.  This is a very good one for the beginners who are going for an moderate usage. The windows experience index scored 4.6 for this model.  When verified in Zauba the import price of this laptop is specified as 19,703/-, but still i got it at a good deal and my warranty is also there till november 15, 2015.  Guys who missed it on BigBillion day have to spend few more bucks to grab it."
16,18-Dec-2014,HP 15-g049AU Notebook,1,"Product is awesome and performance is also very good. However, Flipkart service I am very dissatisfied. Total disappointment. Despite of telling the urgency, they delivered it late and all of the customer care people keep saying different things. These type of issues I keep on experiencing with Flipkart, now it has become their habit.   TOTALLY PATHETIC SERVICE!!!! NOT HAPPY AT ALL"
17,17-Mar-2015,HP 15-g049AU Notebook,4,"Brought this laptop from flipkart.. as usual the product was delivered in excellent condition and before the delivery date indicated while buying...Have been using this laptop for about a week now. Looks great and Works great..Only the Touch pad Click keys are a bit delicate and make a sound when pressed. Have bought a mouse to avoid using them..As no restore DVD was made available with the laptop, had to make it at home..took 5 DVDs and almost 3 hours to do it...Wish they could have charged 100 bucks extra and supplied them with the laptop..The free laptop bag supplied with the item is of decent quality...Overall very satisfied with the product I got for the price I paid"
18,02-Mar-2015,HP 15-g049AU Notebook,5,"First i thank to flipkart for successfully delivering.  This is good laptop for many use like gaming,daily,movies,etc Before receiving this i was thinking that this not for me this for some office user but i was wrong i played many games in it like need for speed most wanted 2012, FIFA 14 etc.  I will say that this is awesome laptop for gamers also go for it."
19,26-Feb-2015,HP 15-g049AU Notebook,5,"I am writing this review after 2 months of using this laptop. Performance wise the laptop is good u can play HD videos, games without any lags. For Developers it can be a decent config (runs Photoshop,Android SDK,etc) For casual user it fits best.   Pros: Great Configuration can be compare to i3 laptops. Runs almost all apps, games and HD videos smoothly. Battery life is good. Battery charges up fast. Build quality is descent. Windows 8 runs smooth. system heats up on heavy usage and also cools down quickly. laptop is doesn't seems bulky. Comes with some good installed software from HP.  Cons: people have experience touchpad freeze which seems to be caused do to hp multigesture driver.  PS:for people confuse over RAM slot in this laptop, It has single RAM slot which has 4GB RAM if you want to upgrade then needs to replace it with 8gb one."
20,25-Feb-2015,HP 15-g049AU Notebook,1,the product is not so good as it has been presented in the reviews .i guide you guys to buy from the market rather than online.the product looks very cheap.quality.
21,22-Feb-2015,HP 15-g049AU Notebook,5,"this is the best laptop with multiple features under 25k. i ordered it on 19th and got it on 21st...wesomme delivery by flipkart and thanks to it, amd a8 is wrkng grt witout any lag....best laptop to use under budget."
22,31-Jan-2015,HP 15-g049AU Notebook,5,"AMD laptop A8 processor with redon graphiic processor best for High end graphics games comes with inbuilt windows 8 registered copy and all installed drivers just On and start working with laptop  HP laptop having very good LED back-light display,stereo surround-sound and HP brand name   battery is good no heating problem comes with free HP backpack  very happy and great experience of online shopping of Laptop buying on flipkart online store..!!!"
23,05-Jan-2015,HP 15-g049AU Notebook,4,I received the Laptop as scheduled.   Had some issue related to warranty redemption on HP site. Flipkart resolve the issue quickly.   I will update the performance related comments shortly. So far i am fine with my purchase.  No Heating is correct observation  Performance - To be tested
24,31-Dec-2014,HP 15-g049AU Notebook,4,"This is a nice laptop and absolutely great for the price range. Got it for 22080 after 2000/- off on stanchart credit card, received on 26th Dec 2014. A8 processor is good and fast. No heating at all. Sound is just ok without headphone. With headphone its good enough for any purpose. Display is great...can see HD content with great clarity. The Surface is of glossy plastic...I like it but not sure if everyone will. Keyboard is fine and responsive but the touch pad is not that good, sometimes it doesn't respond promptly. But mostly its okay. A separate mouse (USB or wireless) will be more useful. I have not started using it for development purposes, but soon I will. Will update this review if I notice any significant difference."
25,22-Dec-2014,HP 15-g049AU Notebook,2,"We purchased this laptop on the Big Billion Day sale...worst mistake ever. was given a defective piece where the space bar key was malfunctioning from Day 1.   When we asked them to replace it, they said it cant be done and a mechanic would come and resolve the issue. Please understand we're working 6 day 100 hour weeks and no one has the time or patience to wait for a mechanic: a simple replacement is desired.   On top of it they closed the complaint 3 times saying complaint has been resolved, when actually the complain was NOT resolved at all.   Finally after many times back and forth (trust me it seemed like a tennis match at one point) the product was replaced ""as an exception"".   One more thing - cashback of Rs 2000/- was applicable on use of a Citibank Credit Card. However it is not an instant cashback, something which is buried in the fine print). Cashback is credited back to the card after minimum 4-5 months, as per their contract with the Bank. So pls keep this in mind while expecting a cashback.   Bottom line: Am happy they finally replaced the laptop, but please consider twice before buying laptops on these high traffic days!"
26,22-Dec-2014,HP 15-g049AU Notebook,4,"Overall nice product but why OS is not activated? Nice one day delivery. Most charming, I got a nice backpack from HP."
27,14-Dec-2014,HP 15-g049AU Notebook,3,link - http://fkrt.it/RHKld9NN open this and get extra discount onn everything on flipkart.!! also get better deals and this product at half price on flipkart.!
28,06-Dec-2014,HP 15-g049AU Notebook,1,"This product was advertised for Rs. 23,590. I bought it for 9 months EMI (ICICI bank). Finally when the CC pymnt went through, the actual billed amount for the product was Rs. 24,490.  This has increased the monthly EMI from around 2,700 to more than 2,900.  Customer service is absolutely useless.... at least in this case!!!! This chasing them to get this resolved."
29,12-Nov-2014,HP 15-g049AU Notebook,4,"Purchased this laptop few days ago and I am very happy with its performance. The laminated black body really looks good and boot time is in few seconds. Good deal at very reasonable price!!! Only thing I am unhappy about is that when I purchased it, there was an offer of purchasing 2 years extended warranty for Rs 2499 but I never got anything from Flipkart and when I called HP they said that offer doesn't exist so bit disappointed."
30,07-Nov-2014,HP 15-g049AU Notebook,1,Got My First Laptop from Flipkart but with the defect. It is really sad to know that Flipkart doesn't even bother to check items before their delivery to the customers.  As soon as I switched on Laptop I noticed one dead pixel on the screen. This is really embarrassing now returning back to Flipkart hope I will get replacement for it.
31,31-Oct-2014,HP 15-g049AU Notebook,3,Getting this configuration at this price was a good deal. This is fully loaded piece. I got this one on exchange of my old laptop. The speed and use is smooth. But there is some issue in touch pad. Even my 6 yer old laptop touch pad was better and smoother.
32,31-Oct-2014,HP 15-g049AU Notebook,5,"Got this laptop delivered on Diwali day. Thanks to Flipkart for the prompt delivery. Am happy with performance of this device for past few days. Initially, I was skeptical about AMD processors, but after lot of research went for them. They are good and so is the device. Able to perform multitasking and operate multiple apps in parallel."
33,24-Oct-2014,HP 15-g049AU Notebook,5,This is a good laptop which changed my opinions about amd processors. It is very good performance. A good laptop at budjet.
34,22-Oct-2014,HP 15-g049AU Notebook,5,"awesome delivery by flipkart received it in under 24 hrs. Laptop is light weight,soft keys win 8.1 rocks and easily upgradeable to any win update to be released in future. Processor is fab .laptop doesnt have heating problems maybe because its new xD no noise. Seemless processing!"
35,22-Oct-2014,HP 15-g049AU Notebook,4,Good laptop for home use.  Pos: Looks good AMD processor 4GB RAM Win 8.1  Con:  Keypad plastic is cheap.
36,22-Oct-2014,HP 15-g049AU Notebook,4,"After using it for two days i am writing this reveiw, lets come to conclusion first .i.e you wont be dissappointed at all.  Hard Disk Available to end user is 462 GB and 3.6 GB RAM.  Pros: As most of them already aware of it, so i am skipping this part.  Con's: 1) Touch becomes bit lazy :) i meant doesnt respond for a sec or 2 at times. 2) Keys not bad, they could have given better i felt. 3) MS Office S/W not installed, was really shocked when i came to know that Office is missing :(.  Regarding Flipkar: No words to Describe in their efforts to get things delivered. Awesome guys and keep up the good work.  One request for all buyers, please avail the extended warranty and be tension free for next 3 years :)."
37,20-Oct-2014,HP 15-g049AU Notebook,1,"I ordered for HP 15-g049AU Notebook on 6th Oct 2014. The expected date for delivery was 18th of Oct. and as of now today 20th of Oct i didnt recived the product yet. I escalated the issue to the concerned department. At first they ask for two business days and then when i get no call from their end, i call them asking about it. I get an answer "" We are sorry ma'am..we regret the inconvenience. Give us three more business days."" After three days, no call from their end. I call back.. I am tired of this situation. This was not expected from a brand like #Flipkart. I am loosing all trust on #Flipkart. This is very frustrating and unacceptable. Order ID: OD300943623216401400"
38,18-Oct-2014,HP 15-g049AU Notebook,5,"no laptop below Rs 30,000 can match this laptop!! offers great value for money!! Best laptop in sub 28k category"
39,11-Oct-2014,HP 15-g049AU Notebook,3,An affordable laptop with Good processor and sleek design.Build quality is good.  Integrated Graphics Card having dedicated 512mb.  Display is ok.  Having issue with frequent mouse pointer freeze.  Overall worth the price..
40,05-Oct-2014,HP 15-g049AU Notebook,5,An A8 laptop at 25K and that too with preloaded windows is unbelievable! That too from a brand like HP makes the deal even sweeter....   I had purchased an A4 laptop at 25K 6 months back and I thought that was a killer deal. But HP has upped the game and come out with the A8 at the same price point!! Moreover its the A8-6410 which means they havent compromised on the processor as well..   I have recommended this to my friends who are waiting for a good deal to get a laptop! It just cant get better than this!!
41,04-Oct-2014,HP 15-g049AU Notebook,5,"AMD A8 machine at a very reasonable price of 25k. A performance laptop in 25-26k range, that's a catch. Since this laptop is only available on flipkart I hope a brief review would help.  Pros: -A8 machine at a very reasonable price -4Gb RAM(expandable to 8Gb),ensures decent performance  -Touchpad with multi-gesture support, pretty much changes the way you use laptop touchpad -Full-size keyboard  Cons: -It's not a gaming laptop, for better gaming experience one would probably need an external graphics card  Value for money, performance machine."
42,23-Feb-2015,HP 15-g049AU Notebook,2,"After using this for a month, I am not overly satisfied with it performance. It is AMD A8 (Quad Core, boost upto 2.4 GHZ) and has 4GB RAM, but still cannot handle even the most basic of multitasking. If background virus scans are running, then you are done for! Screen freezes and response is slow. Open multiple windows, apps, etc and again the performance suffers.  I am and always have been an Intel fan. But I got influenced by reading reviews in this forum and others that the AMD A8 is even better than than Intel Core i3... So NOT TRUE !! Truly disappointed with AMD on my first purchase."
43,22-Feb-2015,HP 15-g049AU Notebook,2,"The AMD HP machine is good product after a full week of working I can say that. It works just fine for every day needs. I use AutoCAD a lot on it and it is working alright. The volume of speakers a bit low but with the kind of pricing it is gr8 product. No heating issues till now.  Delivery was quick full marks to Flipkart.  However, please donot fall for the the Flipkart offer for Extended 2 years warranty and 2 years accidental protection. This product is not listed on HP's website (as explained by flipkart) for extended warranty and protection programme.  Flipkart should not be making false promises to the customers.  Next week I am planning to take up the issue with HP, in the meanwhile I have written to flipkart let us see if they come forward to resolve the issue. Keep you guys posted."
44,18-Feb-2015,HP 15-g049AU Notebook,1,Great laptop but not for development purpose if you want to purchase it for development then don't purchase it
45,03-Jan-2015,HP 15-g049AU Notebook,1,The produuct is good but it is not the best .... ram cannot be expandable but in flipkart it says it is expandable .... later will update abt the product after receiving it
46,22-Oct-2014,HP 15-g049AU Notebook,1,"When I purchased this laptop in the previous week, the specifications on the flipkart page showed that it had a 4GB 1600MHZ RAM. But the laptop only has a 4GB 800MHZ RAM.  Flipkart has later updated the specifications page after I have raised the complaint to show 800MHZ by replacing the 1600MHZ which was mentioned a few days ago.  Flipkart, you cant change the specifications after receiving the money from us. You are promising one thing and giving a different thing. This is not professional at all and just not acceptable from a reputed company.  I hope you will sort out the issue before a class-action suit is filed for misleading customers by providing false information. This incident can be sued for as per the Consumer Protection Act, 1986 and also be reported to the National Consumer Disputes Redressal Commission simultaneously."
47,19-Oct-2014,HP 15-g049AU Notebook,5,Bought this laptop yesterday and its very nice to use. Boot time is faster than my 3rd gen i7 laptop. win 8.1 is really a boon. Battery gives upto 4 hrs after fully charged. Laptop is very light weight and very elegant to use. Keyboard comes with Num pad and the buttons are not so good but OK. Likewise hardware in this laptop is neither good nor bad. Its the best laptop for college students and AMD A8 is much more faster than PQC.
48,01-Mar-2015,HP 15-g049AU Notebook,1,"This Laptop keeps hanging in between and the error it throws is as follows   Your Pc ran into a problem and needs to restart.We,re just collecting some error info and then we,ll restart for you (System thread exception not handled)  I have contacted flipkart for return and they have arranged a call with HP technical team to resolve the issue . The HP representative told me update the BIOS version software with the link that was sent to my email id , I have installed the updated BIOS version software however still the problem persists .  The laptop shutdowns frequently which makes you feel annoying as you need to open all the application again after restarting and they are chances that your data may be lost"
49,03-Apr-2015,HP 15-g049AU Notebook,4,"Hi Guys am going to review this after using 12days..... Good budget laptop.. AMD Done well job. there is no heating problem..... Battery gives up to 5 to 6hrs for normal usage... Everything is fine... Multimedia applications like Adobe CS6 are running smoothly.... If u want to use Highly demanding applications like Maya, Unity,etc and Serious programming you must increase u r RAM size.... There is one problem with RAM. In Flipkart they mention RAM frequency is 1600Mhz but it is a 800Mhz RAM... Except RAM Everything is really good,... my sugestion is go for it.....Bcz low budget and good performance for medium users...."
50,03-Apr-2015,HP 15-g049AU Notebook,4,Using this laptop since 4 months. Extremely good . Just a problem with the antivirus McAfee otherwise best product in best price.
51,31-Mar-2015,HP 15-g049AU Notebook,4,hai Guys.. this is my first review after a lot of shopping from flipkart frist cheers for it faster delivey service  coming to this product.. yes this laptop is the best in this budget... i would like recommend it.. everything have pro's and cons hear my version of pros and cons  pro battery backup stylish and smooth look.. hd cam (i use skype alot) comes with free backpack  cons seems they dont have space for up and down keys and they adjusted them in one key space and it is soo annoying no keyboard led( this is a budget laptop though) mouse pad keys makes you feel you are using a china maid :P
52,31-Mar-2015,HP 15-g049AU Notebook,5,"Product delivered in a day, I bought this for around 25K. It is down to 23K now. Great value for money. Laptop was ready to use when delivered, All I had to do was login and start using. System specs are great for this amount. Overall great deal !!"
53,29-Mar-2015,HP 15-g049AU Notebook,4,"Flipkart Price always fluctuates. Purchased this for 24500 with free backpack five months ago. Pro:-  *Performance is best. same as i3 processor (here A8 cost 3000 less than i3). graphics is better than i3. *4GB RAM supports high end software's. As I purchased this laptop only for those purpose. *Full size keyboard. *Gaming performance is good. As tried several games only to test the graphics and performance. *Gives decent power backup. (5 hrs). *Free backpack is good (Original HP worth at least 500). *Silent. It not makes noise. Cons: *It comes with windows8. those who not comfortable with this OS may found difficulty also it takes more RAM than windows7 means less RAM available for general use. *No backup OS DVD provided. They not provide OS DVD. we need to take backup for re install OS. and it takes minimum 32 GB pen drive. If you not take backup before your system crash, you may loose your licences copy of OS and force to install pirated OS. *Glossy finish is not so good. It is very sensitive. even my small headphones may scratch this glossy finish. will stick decent laptop skin on it. *There is only single drive of 470 GB. (As I not divide those space in different partitions, working on software which require 300 GB hard disk space). Good to have different partitions. *Speakers are good but not Dolby."
54,25-Mar-2015,HP 15-g049AU Notebook,4,Just one word awesomeeeeeeeeeee....... Yesterday i got my laptop and as usual flipkart packing was tooo good. Coming to the product this laptop will serve your requirement completly except for high end gamers. Believe AMD A8 processor is way better then intel core i3 which is quite expensive. I initially decided to go for i3 as my budget was 30000 but still i went for AMD A8 and i bet you it is best. Only drawback is the trackpad which is not up to mark but still it is steal at 24000.
55,24-Mar-2015,HP 15-g049AU Notebook,3,This is not a robust piece. I bought from WS retail. Delivery was good but when u hold it in hand it feels I should not hold it too tight else it will break :p.. If u r rough and tough user then dont buy this for sure.  Otherwise its speed and functionality is good.
56,23-Mar-2015,HP 15-g049AU Notebook,5,"i have been using it for two and a half months now and i have shut down it only for nearly 48 hours till now. The only disadvantage is the cache memory of CPU which is 2MB whereas it's 3 MB in i3. But if you are looking for a Laptop under 28k, then you are not going to find anything better than this. Go for it."
57,22-Mar-2015,HP 15-g049AU Notebook,5,"on first day use it was awesome experience 1- keys are very soft 2-ui is very good and pre installed apps 3-laptop design is awesome like premium laptop 4-it does not heat up more 5-camera resolution is very good and has good features every feature is good in this laptop and also hats off to flipkart fast delivery must buy laptop,if budget is 20000 to 30000"
58,21-Mar-2015,HP 15-g049AU Notebook,5,"FIRSTLY THANK YOU FLIPKART FOR AMAZING DELIVERY..I ALSO THANK THE SELLER WS RETAIL... REGARDING THE PRODUCT:  BASIC AND DECENT NOTEBOOK WITH NEW GENERATION SPECS INCLUDING AMD AND 8.1.  PRICE IS REASONABLE..  IT WILL BE HANDY IF U HAVE ONE ...  I LOVE IT..!!!!!!  HENCE A FULL 5 STAR FOR THE TEAM, FLIPKART,HP AND WS RETAIL .."
